id,companyid,date,invoiceNumber,partner,total
1,101,19-DEC-2020,10001,ABCD,10
2,102,19-DEC-2020,10002,ABCD,10
3,103,19-DEC-2020,10003,ABCD,10
4,104,19-DEC-2020,10004,ABCD,10
5,105,19-DEC-2020,10005,ABCD,10
6,106,19-DEC-2020,10006,ABCD,10
7,107,19-DEC-2020,10007,ABCD,10
8,108,19-DEC-2020,10008,ABCD,10
9,109,19-DEC-2020,10009,ABCD,10
10,110,19-DEC-2020,10010,ABCD,10
11,111,19-DEC-2020,10011,ABCD,10
12,112,19-DEC-2020,10012,ABCD,10
13,113,19-DEC-2020,10013,ABCD,10
14,114,19-DEC-2020,10014,ABCD,10
15,115,19-DEC-2020,10015,ABCD,10
16,116,19-DEC-2020,10016,ABCD,10
17,117,19-DEC-2020,10017,ABCD,10
18,118,19-DEC-2020,10018,ABCD,10
19,119,19-DEC-2020,10019,ABCD,10
20,120,19-DEC-2020,10020,ABCD,10
21,121,19-DEC-2020,10021,ABCD,10
22,122,19-DEC-2020,10022,ABCD,10
23,123,19-DEC-2020,10023,ABCD,10
24,124,19-DEC-2020,10024,ABCD,10
25,125,19-DEC-2020,10025,ABCD,10
26,126,19-DEC-2020,10026,ABCD,10
27,127,19-DEC-2020,10027,ABCD,10
28,128,19-DEC-2020,10028,ABCD,10
29,129,19-DEC-2020,10029,ABCD,10
30,130,19-DEC-2020,10030,ABCD,10
31,131,19-DEC-2020,10031,ABCD,10
32,132,19-DEC-2020,10032,ABCD,10
33,133,19-DEC-2020,10033,ABCD,10
34,134,19-DEC-2020,10034,ABCD,10
35,135,19-DEC-2020,10035,ABCD,10
36,136,19-DEC-2020,10036,ABCD,10
37,137,19-DEC-2020,10037,ABCD,10
38,138,19-DEC-2020,10038,ABCD,10
39,139,19-DEC-2020,10039,ABCD,10
40,140,19-DEC-2020,10040,ABCD,10
41,141,19-DEC-2020,10041,ABCD,10
42,142,19-DEC-2020,10042,ABCD,10
43,143,19-DEC-2020,10043,ABCD,10
44,144,19-DEC-2020,10044,ABCD,10
45,145,19-DEC-2020,10045,ABCD,10
46,146,19-DEC-2020,10046,ABCD,10
47,147,19-DEC-2020,10047,ABCD,10
48,148,19-DEC-2020,10048,ABCD,10
49,149,19-DEC-2020,10049,ABCD,10
50,150,19-DEC-2020,10050,ABCD,10
51,151,19-DEC-2020,10051,ABCD,10
52,152,19-DEC-2020,10052,ABCD,10
53,153,19-DEC-2020,10053,ABCD,10
54,154,19-DEC-2020,10054,ABCD,10
55,155,19-DEC-2020,10055,ABCD,10
56,156,19-DEC-2020,10056,ABCD,10
57,157,19-DEC-2020,10057,ABCD,10
58,158,19-DEC-2020,10058,ABCD,10
59,159,19-DEC-2020,10059,ABCD,10
60,160,19-DEC-2020,10060,ABCD,10
61,161,19-DEC-2020,10061,ABCD,10
62,162,19-DEC-2020,10062,ABCD,10
63,163,19-DEC-2020,10063,ABCD,10
64,164,19-DEC-2020,10064,ABCD,10
65,165,19-DEC-2020,10065,ABCD,10
66,166,19-DEC-2020,10066,ABCD,10
67,167,19-DEC-2020,10067,ABCD,10
68,168,19-DEC-2020,10068,ABCD,10
69,169,19-DEC-2020,10069,ABCD,10
70,170,19-DEC-2020,10070,ABCD,10
71,171,19-DEC-2020,10071,ABCD,10
72,172,19-DEC-2020,10072,ABCD,10
73,173,19-DEC-2020,10073,ABCD,10
74,174,19-DEC-2020,10074,ABCD,10
75,175,19-DEC-2020,10075,ABCD,10
76,176,19-DEC-2020,10076,ABCD,10
77,177,19-DEC-2020,10077,ABCD,10
78,178,19-DEC-2020,10078,ABCD,10
79,179,19-DEC-2020,10079,ABCD,10
80,180,19-DEC-2020,10080,ABCD,10
81,181,19-DEC-2020,10081,ABCD,10
82,182,19-DEC-2020,10082,ABCD,10
83,183,19-DEC-2020,10083,ABCD,10
84,184,19-DEC-2020,10084,ABCD,10
85,185,19-DEC-2020,10085,ABCD,10
86,186,19-DEC-2020,10086,ABCD,10
87,187,19-DEC-2020,10087,ABCD,10
88,188,19-DEC-2020,10088,ABCD,10
89,189,19-DEC-2020,10089,ABCD,10
90,190,19-DEC-2020,10090,ABCD,10
91,191,19-DEC-2020,10091,ABCD,10
92,192,19-DEC-2020,10092,ABCD,10
93,193,19-DEC-2020,10093,ABCD,10
94,194,19-DEC-2020,10094,ABCD,10
95,195,19-DEC-2020,10095,ABCD,10
96,196,19-DEC-2020,10096,ABCD,10
97,197,19-DEC-2020,10097,ABCD,10
98,198,19-DEC-2020,10098,ABCD,10
99,199,19-DEC-2020,10099,ABCD,10
100,200,19-DEC-2020,10100,ABCD,10
101,201,19-DEC-2020,10101,ABCD,10
